code,permno,ticker,name,exchcd,shrcd,first_date,last_date,active,included,dlstcd
us.17113,17113,AHG,AKSO HEALTH GROUP,3,31,2017-11-06,2024-12-31,True,False,100
us.17114,17114,HYAC,HAYMAKER ACQUISITION CORP,3,11,2017-11-22,2019-03-19,False,True,231
us.17115,17115,IFRX,INFLARX N V,3,12,2017-11-09,2024-12-31,True,True,100
us.17116,17116,LOOP,LOOP INDUSTRIES INC,3,11,2017-11-21,2024-12-31,True,True,100
us.17117,17117,MRBK,MERIDIAN CORP,3,11,2017-11-08,2024-12-31,True,True,100
us.17119,17119,PXUS,PRINCIPAL EXCHANGE TRADED FUNDS,3,73,2017-11-10,2019-05-29,False,False,450
us.17120,17120,RETO,RETO ECO SOLUTIONS INC,3,12,2017-11-30,2024-12-31,True,True,100
us.17121,17121,SBT,STERLING BANCORP INC,3,11,2017-11-20,2024-12-31,True,True,100
us.17122,17122,SCPH,SCPHARMACEUTICALS INC,3,11,2017-11-20,2024-12-31,True,True,100
us.17123,17123,SDVY,FIRST TRUST E T F VI,3,73,2017-11-03,2024-12-31,True,False,100
us.17124,17124,VTC,VANGUARD SCOTTSDALE FUNDS,3,73,2017-11-10,2024-12-31,True,False,100
us.17125,17125,DNLI,DENALI THERAPEUTICS INC,3,11,2017-12-11,2024-12-31,True,True,100
us.17126,17126,NMRK,NEWMARK GROUP INC,3,11,2017-12-18,2024-12-31,True,True,100
us.17127,17127,ESTR,ESTRE AMBIENTAL INC,3,12,2017-12-26,2020-01-31,False,True,552
us.17130,17130,LILAK,LIBERTY LATIN AMERICA LTD,3,12,2018-01-03,2024-12-31,True,True,100
us.17131,17131,LILA,LIBERTY LATIN AMERICA LTD,3,12,2018-01-03,2024-12-31,True,True,100
us.17132,17132,VICE,ADVISORSHARES TRUST,4,73,2017-12-14,2024-12-31,True,False,100
us.17133,17133,ASTH,ASTRANA HEALTH INC,3,11,2017-12-11,2024-12-31,True,True,100
us.17134,17134,NRXP,N R X PHARMACEUTICALS INC,3,11,2017-12-04,2024-12-31,True,True,100
us.17135,17135,CASA,CASA SYSTEMS INC,3,11,2017-12-18,2024-04-04,False,True,584
us.17137,17137,BSET,BASSETT FURNITURE INDUSTRIES INC,3,11,2006-01-03,2024-12-31,True,True,100
us.17138,17138,CLRG,INDEXIQ E T F TRUST,3,73,2017-12-14,2023-12-12,False,False,450
us.17139,17139,CWBR,COHBAR INC,3,11,2017-12-18,2023-11-28,False,True,584
us.17140,17140,DLPN,DOLPHIN ENTERTAINMENT INC,3,11,2017-12-22,2024-12-31,True,True,100
us.17141,17141,DOGZ,DOGNESS INTERNATIONAL CORP,3,12,2017-12-21,2024-12-31,True,True,100
us.17142,17142,DWCR,ARROW INVESTMENTS TRUST,5,73,2018-01-02,2024-12-31,True,False,100
us.17144,17144,GIS,GENERAL MILLS INC,1,11,2006-01-03,2024-12-31,True,True,100
us.17146,17146,ICLK,ICLICK INTERACTIVE ASIA GRP LTD,3,31,2017-12-26,2024-12-31,True,False,100
us.17147,17147,ENSC,ENSYSCE BIOSCIENCES INC,3,11,2018-02-26,2024-12-31,True,True,100
us.17148,17148,LBC,LUTHER BURBANK CORP,3,11,2017-12-11,2024-02-29,False,True,231
us.17149,17149,LFIN,LONGFIN CORP,3,11,2017-12-14,2018-04-06,False,True,580
us.17150,17150,LX,LEXINFINTECH HOLDINGS LTD,3,31,2017-12-22,2024-12-31,True,False,100
us.17151,17151,MVBF,M V B FINANCIAL CORP,3,11,2017-12-08,2024-12-31,True,True,100
us.17154,17154,ODT,ODONATE THERAPEUTICS INC,3,11,2017-12-08,2022-01-14,False,True,584
us.17155,17155,QTRX,QUANTERIX CORP,3,11,2017-12-08,2024-12-31,True,True,100
us.17156,17156,STNL,SENTINEL ENERGY SERVICES INC DE,3,11,2018-01-11,2019-11-07,False,True,450
us.17157,17157,TRMD,T O R M PLC,3,12,2018-02-20,2024-12-31,True,True,100
us.17178,17178,CURO,CURO GROUP HOLDINGS CORP,1,11,2017-12-08,2024-03-11,False,True,584
us.17181,17181,USAI,E T F SERIES SOLUTIONS,4,73,2017-12-14,2019-12-13,False,False,231
us.17182,17182,FTNW,F T E NETWORKS INC,2,11,2017-12-15,2019-12-11,False,True,585
us.17183,17183,HIPS,GRANITESHARES E T F TRUST,4,73,2017-12-19,2024-12-31,True,False,100
us.17184,17184,HMOP,HARTFORD FUNDS E T TRUST,4,73,2017-12-18,2024-12-31,True,False,100
us.17185,17185,LDRS,INNOVATOR E T F S TRUST,4,73,2017-12-22,2021-08-13,False,False,450
us.17186,17186,JPMF,J P MORGAN E T F TRUST,4,73,2017-12-08,2020-06-12,False,False,450
us.17189,17189,JPED,J P MORGAN E T F TRUST,4,73,2017-12-05,2020-06-19,False,False,450
us.17190,17190,LSST,NATIXIS E T F TRUST,4,73,2018-01-08,2024-09-25,False,False,450
us.17191,17191,FITE,SPDR SERIES TRUST,4,73,2017-12-28,2024-12-31,True,False,100
us.17192,17192,HAIL,SPDR SERIES TRUST,4,73,2017-12-28,2024-12-31,True,False,100
us.17193,17193,SIMS,SPDR SERIES TRUST,4,73,2017-12-28,2024-12-31,True,False,100
us.17194,17194,BUY,U S C F ETF TRUST,4,73,2017-12-06,2020-10-13,False,False,450
us.17197,17197,BUYN,U S C F ETF TRUST,4,73,2017-12-04,2020-04-29,False,False,450
us.17198,17198,WBAL,WISDOMTREE TRUST,4,73,2017-12-22,2020-01-17,False,False,450
us.17199,17199,WCHN,WISDOMTREE TRUST,4,73,2017-12-22,2020-05-27,False,False,450
us.17200,17200,LXFR,LUXFER HOLDINGS PLC,1,12,2017-12-12,2024-12-31,True,True,100
us.17201,17201,VVNT,VIVINT SMART HOME INC,1,11,2017-12-11,2023-03-09,False,True,233
us.17202,17202,PIA,INVESCO MUNI PREMIUM INCOME TR,1,44,2010-06-02,2012-10-12,False,False,231
us.17203,17203,OIC,INVESCO MUNICIPAL INC OPP TR III,1,44,2010-06-02,2012-08-24,False,False,231
us.17204,17204,OIB,INVESCO MUNI INCOME OPP TRUST II,1,44,2010-06-02,2012-08-24,False,False,231
us.17205,17205,OIA,INVESCO MUNICIPAL INCOME OPP TR,1,44,2010-06-02,2024-12-31,True,False,100
us.17206,17206,IIC,INVESCO CALIF MUNI INCOME TRUST,1,44,2010-06-02,2012-08-24,False,False,231
us.17207,17207,IQN,INVESCO NY QUALITY MUNI SECS,1,44,2010-06-02,2012-08-24,False,False,231
us.17209,17209,BAY,BAYER A G,1,31,2006-01-03,2007-09-26,False,False,570
us.17210,17210,IQM,INVESCO QUALITY MUNICIPAL SECS,1,44,2010-06-02,2012-10-12,False,False,231
us.17211,17211,IQC,INVESCO CALIF QUALITY MUNI SECS,1,44,2010-06-02,2012-08-24,False,False,231
us.17212,17212,IQT,INVESCO QUALITY MUNI INVT TR,1,44,2010-06-02,2012-10-12,False,False,231
us.17213,17213,IQI,INVESCO QUALITY MUNI INCOME TR,1,44,2010-06-02,2024-12-31,True,False,100
us.17214,17214,IIM,INVESCO VALUE MUNI INCOME TR,1,44,2010-06-02,2024-12-31,True,False,100
us.17215,17215,IMC,INVESCO VALUE MUNI BOND TRUST,1,44,2010-06-02,2012-10-12,False,False,231
us.17218,17218,ICS,INVESCO CALIF MUNICIPAL SECS,1,44,2010-06-02,2012-08-24,False,False,231
us.17219,17219,IMS,INVESCO VALUE MUNI SECURITIES,1,44,2010-06-02,2012-10-12,False,False,231
us.17220,17220,IMT,INVESCO VALUE MUNICIPAL TRUST,1,44,2010-06-02,2012-10-12,False,False,231
us.17221,17221,LBRT,LIBERTY ENERGY INC,1,11,2018-01-16,2024-12-31,True,True,100
us.17222,17222,ILPT,INDUSTRIAL LOGISTICS PPTYS TR,3,48,2018-01-16,2024-12-31,True,False,100
us.17223,17223,ADT,A D T INC,1,11,2018-01-22,2024-12-31,True,True,100
us.17226,17226,COLD,AMERICOLD REALTY TRUST INC,1,11,2018-01-22,2024-12-31,True,True,100
us.17227,17227,GTES,GATES INDUSTRIAL CORP PLC,1,12,2018-01-26,2024-12-31,True,True,100
us.17228,17228,KORP,AMERICAN CENTURY E T F TRUST,4,73,2018-01-17,2024-12-31,True,False,100
us.17229,17229,VALQ,AMERICAN CENTURY E T F TRUST,4,73,2018-01-17,2024-12-31,True,False,100
us.17230,17230,BLOK,AMPLIFY ETF TRUST,4,73,2018-01-18,2024-12-31,True,False,100
us.17231,17231,DOGS,ARROW INVESTMENTS TRUST,4,73,2018-01-04,2020-05-04,False,False,450
us.17234,17234,AVYA,AVAYA HOLDINGS CORP,1,11,2018-01-18,2023-02-13,False,True,574
us.17235,17235,HYUP,D B X ETF TRUST,4,73,2018-01-19,2024-12-31,True,False,100
us.17236,17236,HYDW,D B X ETF TRUST,4,73,2018-01-16,2024-12-31,True,False,100
us.17237,17237,SHYL,D B X ETF TRUST,4,73,2018-01-11,2024-12-31,True,False,100
us.17238,17238,KOIN,EXCHANGE TRADED CONCEPTS TR,4,73,2018-01-31,2024-05-22,False,False,450
us.17239,17239,PRID,EXCHANGE LISTED FUNDS TRUST,4,73,2018-01-12,2019-11-20,False,False,450
us.17242,17242,HONR,EXCHANGE LISTED FUNDS TRUST,4,73,2018-01-23,2019-11-20,False,False,450
us.17243,17243,FIVA,FIDELITY COVINGTON TRUST,4,73,2018-01-19,2024-12-31,True,False,100
us.17244,17244,FIDI,FIDELITY COVINGTON TRUST,4,73,2018-01-19,2024-12-31,True,False,100
us.17245,17245,KLR,KALEYRA INC,1,11,2018-01-18,2023-10-04,False,True,233
us.17246,17246,PLTM,GRANITESHARES PLATINUM TRUST,4,73,2018-02-05,2024-12-31,True,False,100
us.17247,17247,JPMB,J P MORGAN E T F TRUST,4,73,2018-01-31,2024-12-31,True,False,100
us.17248,17248,JPLS,J P MORGAN E T F TRUST,4,73,2018-01-26,2020-06-12,False,False,450
us.17249,17249,KARS,KRANESHARES TRUST,4,73,2018-01-22,2024-12-31,True,False,100
us.17250,17250,LAAC,LITHIUM AMERICAS ARGENTINA CORP,1,12,2018-01-26,2024-12-31,True,True,100
us.17251,17251,NINE,NINE ENERGY SERVICES INC,1,11,2018-01-22,2024-12-31,True,True,100
us.17252,17252,AGS,PLAYAGS INC,1,11,2018-01-29,2024-12-31,True,True,100
us.17253,17253,CEF,SPROTT PHYSICAL GOLD & SILVER TR,4,75,2018-01-17,2024-12-31,True,False,100
us.17254,17254,PAGS,PAGSEGURO DIGITAL LTD,1,12,2018-01-25,2024-12-31,True,True,100
us.17255,17255,RWGE,REGALWOOD GLOBAL ENERGY LTD,1,12,2018-01-26,2019-12-13,False,True,450
us.17256,17256,ARMO,A R M O BIOSCIENCES INC,3,11,2018-01-29,2018-06-21,False,True,233
us.17257,17257,BLCN,REALITY SHARES E T F TR,3,73,2018-01-18,2020-11-20,False,False,231
us.17258,17258,CLGN,COLLPLANT BIOTECHNOLOGIES LTD,3,31,2018-02-01,2021-06-03,False,False,331
us.17262,17262,CUE,CUE BIOPHARMA INC,3,11,2018-01-03,2024-12-31,True,True,100
us.17263,17263,EYEN,EYENOVIA INC,3,11,2018-01-26,2024-12-31,True,True,100
us.17264,17264,HNDL,STRATEGY SHARES,3,73,2018-01-18,2024-12-31,True,False,100
us.17265,17265,LEGR,FIRST TRUST E T F VI,3,73,2018-01-26,2024-12-31,True,False,100
us.17266,17266,VYNE,VYNE THERAPEUTICS INC,3,11,2018-01-26,2024-12-31,True,True,100
us.17269,17269,NMRD,NEMAURA MEDICAL INC,3,11,2018-01-26,2024-01-04,False,True,584
us.17270,17270,REKR,REKOR SYSTEMS INC,3,11,2018-01-11,2024-12-31,True,True,100
us.17271,17271,SLDB,SOLID BIOSCIENCES INC,3,11,2018-01-29,2024-12-31,True,True,100
us.17272,17272,ACET,ADICET BIO INC,3,11,2018-01-29,2024-12-31,True,True,100
us.17273,17273,FTSI,F T S INTERNATIONAL INC,2,11,2018-02-05,2022-03-04,False,True,233
us.17279,17279,LO,LORILLARD INC,1,11,2008-06-11,2015-06-11,False,True,241
us.17281,17281,WHD,CACTUS INC,1,11,2018-02-09,2024-12-31,True,True,100
us.17282,17282,FVL,FIRST TRUST VALUE LINE 100 FD,2,44,2006-01-03,2007-06-15,False,False,231
us.17285,17285,FVD,FIRST TRUST VALUE LINE DIVID FD,2,44,2006-01-03,2006-12-15,False,False,231
us.17286,17286,CEPU,CENTRAL PUERTO S A,1,31,2018-02-05,2024-12-31,True,False,100
us.17287,17287,BRSP,BRIGHTSPIRE CAPITAL INC,1,18,2018-02-02,2024-12-31,True,True,100
us.17288,17288,PPTB,DIREXION SHARES E T F TRUST,4,73,2018-02-16,2018-09-24,False,False,450
us.17289,17289,PPDM,DIREXION SHARES E T F TRUST,4,73,2018-02-16,2020-09-25,False,False,450
