code,date,dlret_pct
us.13262,2022-10-19,0.019200000000000002
us.13263,2020-01-10,-12.0
us.13264,2016-07-29,0.7557
us.13265,2023-08-28,-33.7017
us.13267,2020-07-20,-3.1952000000000003
us.13269,2015-08-21,-4.5594
us.13270,2015-08-21,-1.1042
us.13271,2015-08-21,-2.0758
us.13272,2015-08-21,-1.9293
us.13276,2012-07-13,0.20140000000000002
us.13277,2015-04-28,0.44780000000000003
us.13280,2021-03-31,0.45659999999999995
us.13281,2015-10-23,-5.7143
us.13285,2014-10-20,0.06530000000000001
us.13287,2018-04-06,0.0
us.13288,2018-04-06,0.0477
us.13289,2018-04-06,0.0
us.13292,2016-07-11,-0.02
us.13294,2013-07-11,0.0
us.13295,2016-02-19,5.6047
us.13297,2016-10-07,-0.20070000000000002
us.13298,2015-10-22,0.0
us.13299,2018-07-30,-2.5187999999999997
us.13306,2012-10-16,0.0945
us.13307,2012-10-16,-0.0243
us.13309,2018-12-31,-3.9837
us.13314,2019-07-30,-0.1852
us.13316,2022-02-22,0.1517
us.13317,2016-01-05,-34.285700000000006
us.13319,2021-06-08,0.1727
us.13320,2013-01-22,-0.7955
us.13325,2024-05-17,-0.1983
us.13327,2017-08-31,0.0
us.13329,2018-11-08,0.6803
us.13330,2020-06-16,-6.6667000000000005
us.13331,2013-07-08,-0.0772
us.13333,2018-04-06,0.0
us.13334,2017-12-28,0.0136
us.13335,2016-12-29,0.0604
us.13336,2013-11-20,0.0
us.13340,2017-04-03,0.3257
us.13342,2016-11-07,0.0944
us.13349,2016-02-03,-64.8926
us.13352,2019-09-27,4.2167
us.13358,2021-10-21,0.10640000000000001
us.13365,2019-11-11,-35.8407
us.13367,2016-08-01,0.037399999999999996
us.13368,2018-09-06,1.7039
us.13372,2014-08-15,2.9534000000000002
us.13373,2016-11-18,27.498299999999997
us.13374,2015-10-26,0.0
us.13375,2023-10-27,0.1178
us.13377,2021-08-30,0.05689999999999999
us.13378,2015-04-16,5.3502
us.13379,2024-03-15,0.06369999999999999
us.13381,2017-05-12,0.5222
us.13382,2022-08-30,-0.027999999999999997
us.13383,2014-05-21,0.1545
us.13384,2017-06-08,0.0513
us.13385,2018-10-16,-16.981099999999998
us.13388,2020-08-05,-41.844
us.13391,2014-07-15,-1.0600999999999998
us.13392,2017-03-31,0.7179
us.13394,2017-09-06,0.3265
us.13395,2022-09-08,2.8362
us.13400,2019-08-29,0.0195
us.13401,2023-12-05,0.5871000000000001
us.13402,2015-06-30,1.4294
us.13404,2013-11-27,-3.7914999999999996
us.13408,2017-03-13,-67.5676
us.13409,2018-09-28,0.0
us.13412,2024-07-10,-9.0909
us.13425,2017-06-16,-0.5204
us.13430,2014-12-12,-0.5354
us.13431,2024-09-06,0.1923
us.13432,2020-06-16,3.0425
