date,prev_close,open,high,low,close,volume,value
20160801,6202.8923,6179.2019,6179.2019,6046.4023,6109.2782,7242433400,87082756200.0
20160802,6109.2782,6100.7491,6168.6819,6099.2499,6168.5088,5528244000,65668796000.0
20160803,6168.5088,6154.4741,6203.6148,6140.8294,6198.3885,6817706500,80258676500.0
20160804,6198.3885,6194.2028,6245.3048,6174.2398,6238.2309,7002098700,83574942200.0
20160805,6238.2309,6231.5257,6251.3982,6202.8622,6203.2872,6754335600,81408223900.0
20160808,6203.2872,6191.6474,6290.8999,6152.5791,6290.7562,7636934300,86291493000.0
20160809,6290.7562,6283.2888,6341.7233,6281.0723,6341.5497,7751480100,91954889600.0
20160810,6341.5497,6336.5359,6366.089,6314.5125,6318.2681,7664910500,90702254800.0
20160811,6318.2681,6304.7771,6318.9779,6226.3129,6226.3129,7011124300,83401760800.0
20160812,6226.3129,6218.3533,6299.0915,6204.9613,6299.0915,6793189400,76814567800.0
20160815,6299.0915,6309.4141,6451.929,6289.7246,6442.5272,11725309100,135328110700.0
20160816,6442.5272,6449.9066,6488.7007,6446.2363,6468.8946,10908072500,129596790700.0
20160817,6468.8946,6462.0466,6502.1391,6437.2631,6488.3648,9518581100,109506402800.0
20160818,6488.3648,6485.9268,6527.1975,6466.3975,6490.408,10972038300,119457001000.0
20160819,6490.408,6485.7195,6516.9793,6451.612,6499.5548,9116680300,100034245200.0
20160822,6499.5548,6499.7527,6508.7968,6419.5628,6420.3544,9168679300,101129060400.0
20160823,6420.3544,6414.9819,6448.5425,6380.915,6428.6978,7997283400,86212643200.0
20160824,6428.6978,6432.8787,6466.6253,6415.6998,6435.0586,7337492300,82739547100.0
20160825,6435.0586,6398.5641,6398.5641,6312.6532,6382.5704,7921371500,90223568500.0
20160826,6382.5704,6395.772,6460.8679,6395.7304,6410.7335,7431027900,87597643300.0
20160829,6410.7335,6409.1178,6442.3982,6398.7765,6427.5291,6846005800,81751673500.0
20160830,6427.5291,6428.9659,6459.7148,6413.7103,6425.7543,6117167700,73529970000.0
20160831,6425.7543,6422.8012,6441.106,6390.699,6434.2103,6527700500,75033509400.0
20160901,6434.2103,6434.2608,6445.4324,6380.9005,6381.4755,7131470900,80291142800.0
20160902,6381.4755,6371.4921,6403.5722,6320.4791,6356.9538,6750696300,78519545100.0
20160905,6356.9538,6372.624,6419.7461,6372.624,6391.7923,6504838200,75899103500.0
20160906,6391.7923,6392.6082,6493.3473,6345.6948,6492.9722,8611644900,103870886300.0
20160907,6492.9722,6490.3301,6529.8114,6483.0878,6494.3159,9256244100,108605090300.0
